word;OLD20_m;OLD20_sd;OS;OUP;Language
pouvoir;2,55;,604805319;1;4;FRA
vouloir;2,75;,550119604;1;4;FRA
prendre;2,85;,366347549;0;5;FRA
falloir;3,45;,686332741;0;4;FRA
trouver;2,6;,598243042;1;5;FRA
laisser;2,6;,598243042;1;4;FRA
arriver;2,55;,604805319;1;6;FRA
premier;2,7;,470162346;0;4;FRA
sembler;2,8;,410391341;0;4;FRA
quelque;3,45;,604805319;0;5;FRA
devenir;3,1;,911909506;1;4;FRA
revenir;2,95;,887041208;2;4;FRA
presque;2,75;,550119604;1;5;FRA
appeler;2,85;,366347549;0;4;FRA
arrêter;2,75;,444261658;0;4;FRA
pendant;2,65;,587142949;1;5;FRA
chambre;3,05;,604805319;0;5;FRA
dernier;2,8;,410391341;0;3;FRA
asseoir;3,6;,598243042;0;5;FRA
tourner;2,55;,510417786;0;6;FRA
instant;3,2;,615587011;0;4;FRA
marcher;2,65;,489360485;0;4;FRA
silence;3,1;,640723276;0;4;FRA
quitter;3,05;,510417786;0;3;FRA
écouter;2,35;,587142949;1;5;FRA
essayer;2,85;,489360485;1;4;FRA
nouveau;2,85;,366347549;0;4;FRA
surtout;3,7;,656946685;0;4;FRA
pousser;2,3;,656946685;1;6;FRA
parfois;3,35;,74515982;0;5;FRA
oublier;2,6;,598243042;1;3;FRA
souvent;2,75;,550119604;1;4;FRA
voiture;2,65;,587142949;1;4;FRA
fenêtre;3,35;,489360485;0;3;FRA
rentrer;2,45;,604805319;1;6;FRA
montrer;2,6;,598243042;1;5;FRA
famille;2,7;,470162346;0;3;FRA
lumière;2,85;,366347549;0;3;FRA
travail;3,8;,410391341;0;5;FRA
sourire;2,8;,523148364;1;5;FRA
affaire;2,9;,447213595;0;5;FRA
travers;3,4;,50262469;0;5;FRA
changer;2,55;,686332741;2;5;FRA
comment;2,8;,410391341;0;5;FRA
général;3,95;,887041208;0;2;FRA
plaisir;3,3;,571240571;0;5;FRA
glisser;2,65;,587142949;1;3;FRA
ajouter;2,6;,50262469;0;3;FRA
occuper;3,05;,510417786;0;5;FRA
décider;2,15;,670820393;3;5;FRA
soudain;3,1;,640723276;0;4;FRA
lorsque;3,05;,510417786;0;4;FRA
compter;2,7;,571240571;1;5;FRA
mauvais;3,55;,510417786;0;4;FRA
répéter;2,6;,598243042;1;4;FRA
couleur;2,4;,680557047;2;5;FRA
journal;3,55;,686332741;0;6;FRA
manquer;2,65;,670820393;1;4;FRA
semaine;3,1;,447213595;0;4;FRA
coucher;2,15;,74515982;1;4;FRA
avancer;2,8;,410391341;0;6;FRA
oreille;2,75;,550119604;1;3;FRA
toucher;2,15;,812727701;2;4;FRA
heureux;2,9;,552506251;1;5;FRA
certain;3,5;,688247202;0;4;FRA
journée;3,05;,686332741;1;6;FRA
partout;3,3;,571240571;0;5;FRA
envoyer;2,8;,523148364;1;5;FRA
bientôt;4,3;,470162346;0;3;FRA
d'abord;4,6;,50262469;0;2;FRA
ensuite;3,3;,801314709;0;3;FRA
frapper;2,9;,307793506;0;4;FRA
pleurer;2,8;,523148364;1;3;FRA
bonheur;2,6;,50262469;0;4;FRA
suffire;3,3;,470162346;0;3;FRA
manière;2,65;,74515982;2;4;FRA
pencher;2,75;,550119604;1;4;FRA
passage;2,6;,680557047;2;6;FRA
refuser;2,6;,50262469;0;4;FRA
acheter;2,9;,447213595;1;5;FRA
exister;2,85;,366347549;0;3;FRA
village;3,25;,966545667;1;3;FRA
retenir;2,95;,825577947;1;6;FRA
service;3,1;,640723276;1;6;FRA
présent;3,5;,606976979;0;5;FRA
feuille;2,55;,604805319;1;4;FRA
endroit;3,75;,444261658;0;4;FRA
cuisine;3,3;,470162346;0;5;FRA
espérer;2,7;,470162346;0;4;FRA
choisir;3,5;,606976979;0;4;FRA
couvrir;2,6;,598243042;1;5;FRA
puisque;3;,458831468;0;3;FRA
rapport;3,6;,598243042;0;3;FRA
moindre;2,5;,688247202;1;5;FRA
exemple;4;0;0;4;FRA
assurer;2,6;,598243042;1;5;FRA
appuyer;2,85;,366347549;0;4;FRA
chanter;2,7;,571240571;1;5;FRA
relever;2,75;,444261658;0;4;FRA
traîner;2,85;,366347549;0;6;FRA
hésiter;2,5;,606976979;1;3;FRA
charger;2,65;,670820393;2;5;FRA
réussir;3,35;,489360485;0;4;FRA
seconde;3,55;,510417786;0;5;FRA
étonner;2,8;,410391341;0;4;FRA
secouer;2,9;,307793506;0;6;FRA
allumer;2,85;,366347549;0;4;FRA
chaleur;2,8;,410391341;0;5;FRA
baisser;2,45;,604805319;1;4;FRA
sommeil;3,65;,489360485;0;5;FRA
musique;2,75;,444261658;0;5;FRA
habiter;2,6;,50262469;0;6;FRA
deviner;2,65;,587142949;1;5;FRA
étendre;2,75;,550119604;1;6;FRA
mémoire;3,15;,587142949;0;3;FRA
séparer;2,85;,489360485;1;3;FRA
ramener;2,85;,366347549;0;4;FRA
ignorer;2,95;,223606798;0;5;FRA
combien;2,95;,604805319;0;6;FRA
obliger;2,95;,223606798;0;5;FRA
immense;3,3;,656946685;0;4;FRA
profond;3,8;,615587011;0;5;FRA
emmener;3,15;,670820393;0;5;FRA
couloir;2,65;,587142949;1;5;FRA
enfance;3,2;,615587011;0;4;FRA
étrange;3,3;,571240571;0;4;FRA
marquer;2,45;,686332741;1;6;FRA
éclater;2,7;,470162346;0;5;FRA
souffle;2,8;,523148364;1;7;FRA
réponse;3,3;,571240571;0;4;FRA
dresser;2,45;,686332741;1;3;FRA
morceau;2,65;,587142949;1;4;FRA
risquer;2,9;,307793506;0;4;FRA
retirer;2,65;,489360485;0;4;FRA
liberté;3,8;,410391341;0;4;FRA
honneur;2,55;,604805319;1;5;FRA
intérêt;4;,458831468;0;4;FRA
tromper;2,65;,587142949;1;4;FRA
diriger;2,9;,307793506;0;3;FRA
arrière;2,85;,366347549;0;5;FRA
engager;2,7;,571240571;1;4;FRA
malheur;2,95;,223606798;0;4;FRA
écarter;2,9;,307793506;0;4;FRA
douleur;2,4;,680557047;2;4;FRA
chemise;3,75;,444261658;0;4;FRA
écraser;2,85;,366347549;0;3;FRA
tableau;3,15;,489360485;0;5;FRA
chapeau;3,15;,812727701;1;4;FRA
passion;3;,561951487;0;5;FRA
docteur;2,45;,510417786;0;3;FRA
content;2,4;,598243042;1;7;FRA
capable;3,1;,552506251;0;4;FRA
plonger;2,8;,410391341;0;6;FRA
branche;2,55;,686332741;2;5;FRA
machine;3,2;,410391341;0;4;FRA
conseil;3,25;,444261658;0;5;FRA
reposer;2,5;,512989176;0;4;FRA
réalité;3,45;,686332741;0;3;FRA
vacance;2,9;,307793506;0;5;FRA
inviter;2,75;,550119604;1;4;FRA
achever;3;,648885685;1;5;FRA
remplir;3,15;,489360485;0;5;FRA
briller;2,3;,732695097;2;4;FRA
obtenir;3,65;,670820393;0;3;FRA
peindre;2,35;1,089422831;3;5;FRA
arrivée;3,5;,688247202;0;6;FRA
courant;2,4;,753937035;2;6;FRA
anglais;3,9;,447213595;0;3;FRA
enlever;2,85;,366347549;0;4;FRA
mariage;2,75;,444261658;0;5;FRA
imposer;2,85;,670820393;0;4;FRA
hauteur;2,75;,444261658;0;5;FRA
prévoir;3,6;,598243042;0;4;FRA
croiser;2,6;,50262469;0;6;FRA
absence;3,05;,510417786;0;4;FRA
planter;2,5;,512989176;0;6;FRA
naturel;3,7;,571240571;0;3;FRA
médecin;3,95;,223606798;0;4;FRA
attirer;2,6;,598243042;1;5;FRA
lunette;2,65;,489360485;0;4;FRA
volonté;3,55;,686332741;0;4;FRA
terrain;3,3;,801314709;0;5;FRA
claquer;2,15;,670820393;3;4;FRA
château;3,05;,604805319;0;5;FRA
évoquer;2,45;,604805319;1;4;FRA
hausser;2,6;,598243042;1;4;FRA
presser;2,35;,670820393;1;5;FRA
courage;2,75;,444261658;0;6;FRA
effacer;2,8;,410391341;0;4;FRA
inutile;3,5;,606976979;0;3;FRA
douceur;2,5;,606976979;1;4;FRA
traiter;2,75;,444261658;0;4;FRA
confier;2,6;,598243042;1;6;FRA
fatigue;3,15;,670820393;1;7;FRA
horreur;2,7;,470162346;0;4;FRA
reculer;2,45;,604805319;1;5;FRA
admirer;2,8;,410391341;0;3;FRA
théâtre;3,75;,550119604;0;4;FRA
manteau;2,75;,550119604;1;4;FRA
chasser;2,45;,604805319;1;4;FRA
curieux;3,05;,686332741;1;3;FRA
horizon;3,7;,470162346;0;4;FRA
sérieux;3,35;,670820393;0;3;FRA
magasin;3,8;,410391341;0;4;FRA
contact;2,75;,444261658;0;5;FRA
nourrir;2,6;,598243042;1;4;FRA
creuser;2,65;,489360485;0;3;FRA
paysage;2,9;,718184846;1;3;FRA
attente;2,9;,640723276;0;6;FRA
flotter;2,65;,670820393;2;3;FRA
élément;3,35;,87509398;1;4;FRA
déposer;2,25;,444261658;0;5;FRA
société;3,9;,307793506;0;3;FRA
désirer;2,3;,571240571;1;5;FRA
excuser;2,6;,50262469;0;4;FRA
inconnu;3,85;,489360485;0;4;FRA
entendu;3,4;,753937035;0;6;FRA
maladie;2,85;,670820393;1;7;FRA
révéler;2,7;,470162346;0;4;FRA
émotion;3,45;,604805319;0;3;FRA
épouser;2,55;,510417786;0;4;FRA
ennuyer;2,75;,444261658;0;3;FRA
qualité;3,5;,76088591;0;4;FRA
matière;2,7;,571240571;1;5;FRA
univers;3,8;,410391341;0;4;FRA
dégager;2,55;,510417786;0;5;FRA
vitesse;3,15;,670820393;0;4;FRA
établir;3,55;,604805319;0;4;FRA
envahir;3,65;,489360485;0;4;FRA
figurer;2,75;,550119604;1;5;FRA
surface;3,75;,444261658;0;4;FRA
fournir;2,7;,571240571;1;7;FRA
costume;2,8;,523148364;1;5;FRA
colline;2,75;,444261658;0;6;FRA
essuyer;2,9;,718184846;1;4;FRA
hôpital;4,1;,640723276;0;3;FRA
sauvage;2,95;,223606798;0;5;FRA
lecture;2,8;,410391341;0;5;FRA
mériter;2,4;,680557047;2;3;FRA
plateau;3,05;,394034463;0;5;FRA
poisson;2,45;,686332741;1;4;FRA
cadavre;3,4;,50262469;0;4;FRA
million;3,4;,753937035;0;6;FRA
au-delà;4,9;,307793506;0;3;FRA
