model;cat;index;diff
FRA;1;1;3,34474321147929
FIN;1;2;3,0029678991716
FIN;1;3;3,34223536189349
FIN;1;4;3,60282158053254
FIN;1;5;3,01908222751479
FIN;1;6;2,92627008568047
FIN;1;7;3,44995580698225
FIN;1;8;3,73450811136095
FIN;1;9;3,61762334260355
FIN;1;10;3,65469491893491
FIN;1;11;3,63961247491124
FIN;1;12;3,5985367812426
FIN;1;13;3,73382082461539
FIN;1;14;3,67153440692308
FIN;1;15;3,46859481597633
FIN;1;16;3,68379751674556
FIN;1;17;3,70139371710059
FIN;1;18;3,73774824136095
FIN;1;19;3,61710603213018
FIN;1;20;3,57830728112426
FIN;1;21;3,56228393213018
FIN;1;22;3,58432463384615
FIN;1;23;3,35792007414201
FIN;2;1;3,0029678991716
FIN;2;2;1,06875570710059
FIN;2;3;1,99398535692308
FIN;2;4;2,86098220775148
FIN;2;5;1,43626589591716
FIN;2;6;1,37015114035503
FIN;2;7;2,36609614491124
FIN;2;8;3,05373046272189
FIN;2;9;2,56979266757396
FIN;2;10;2,66609386147929
FIN;2;11;2,66433250532544
FIN;2;12;2,5580677491716
FIN;2;13;2,82214929236686
FIN;2;14;2,95578397094675
FIN;2;15;2,35992233147929
FIN;2;16;2,73384943053254
FIN;2;17;2,76187315615385
FIN;2;18;2,82654704556213
FIN;2;19;2,8503305843787
FIN;2;20;2,59549499887574
FIN;2;21;2,76702715295858
FIN;2;22;2,83767653272189
FIN;2;23;2,28755716775148
FIN;3;1;3,34223536189349
FIN;3;2;1,99398535692308
FIN;3;3;2,01107083384615
FIN;3;4;3,19149092289941
FIN;3;5;2,0255895108284
FIN;3;6;1,99955355337278
FIN;3;7;2,77387319171598
FIN;3;8;3,34018760792899
FIN;3;9;3,01684392911243
FIN;3;10;3,03891866538462
FIN;3;11;3,09603814745562
FIN;3;12;3,00863453035503
FIN;3;13;3,23687614189349
FIN;3;14;3,27339105065089
FIN;3;15;2,82080440739645
FIN;3;16;3,05206072710059
FIN;3;17;3,13999139035503
FIN;3;18;3,21956997218935
FIN;3;19;3,22868027207101
FIN;3;20;2,96389543426036
FIN;3;21;3,08348887988166
FIN;3;22;3,15141631710059
FIN;3;23;2,69685600189349
FIN;4;1;3,60282158053254
FIN;4;2;2,86098220775148
FIN;4;3;3,19149092289941
FIN;4;4;3,10110734
FIN;4;5;2,88129633467456
FIN;4;6;2,79265558088757
FIN;4;7;3,3636984895858
FIN;4;8;3,67651898982249
FIN;4;9;3,52877234656805
FIN;4;10;3,56487884899408
FIN;4;11;3,57359634343195
FIN;4;12;3,49961316378698
FIN;4;13;3,64335718775148
