model;cat;index;diff
FIN;1;1;0
FIN;1;2;2,47118224
FIN;1;3;2,91679445
FIN;1;4;2,86745947
FIN;1;5;3,03692084
FIN;1;6;2,85791571
FIN;1;7;2,2340466
FIN;1;8;3,4092886
FIN;1;9;3,30304459
FIN;1;10;3,20375851
FIN;1;11;3,05479778
FIN;1;12;3,06381538
FIN;1;13;2,65704551
FIN;2;1;2,47118224
FIN;2;2;0
FIN;2;3;2,78660759
FIN;2;4;2,96729509
FIN;2;5;3,29391922
FIN;2;6;2,78383752
FIN;2;7;2,4862496
FIN;2;8;2,95110846
FIN;2;9;3,68134757
FIN;2;10;3,45799902
FIN;2;11;3,28195318
FIN;2;12;3,06507718
FIN;2;13;2,86973336
FIN;3;1;2,91679445
FIN;3;2;2,78660759
FIN;3;3;0
FIN;3;4;2,94509283
FIN;3;5;3,14257283
FIN;3;6;3,06203641
FIN;3;7;2,74239948
FIN;3;8;2,91283894
FIN;3;9;3,11046603
FIN;3;10;3,8103775
FIN;3;11;3,46487038
FIN;3;12;3,39455501
FIN;3;13;3,14459337
FIN;4;1;2,86745947
FIN;4;2;2,96729509
FIN;4;3;2,94509283
FIN;4;4;0
FIN;4;5;2,86203896
FIN;4;6;2,88784331
FIN;4;7;2,73533329
FIN;4;8;3,01630489
FIN;4;9;3,03052409
FIN;4;10;3,01601525
FIN;4;11;3,68762764
FIN;4;12;3,42018031
FIN;4;13;3,0746383
FIN;5;1;3,03692084
FIN;5;2;3,29391922
FIN;5;3;3,14257283
FIN;5;4;2,86203896
FIN;5;5;0
FIN;5;6;2,63700444
FIN;5;7;2,71601641
FIN;5;8;3,08908121
FIN;5;9;2,82801018
FIN;5;10;3,15909358
FIN;5;11;3,03481259
FIN;5;12;3,6701992
FIN;5;13;3,18967488
FIN;6;1;2,85791571
FIN;6;2;2,78383752
FIN;6;3;3,06203641
FIN;6;4;2,88784331
FIN;6;5;2,63700444
FIN;6;6;0
FIN;6;7;2,12900388
FIN;6;8;2,53992328
FIN;6;9;2,72946493
FIN;6;10;2,84267288
FIN;6;11;2,73298104
FIN;6;12;2,71522044
FIN;6;13;2,81250226
FIN;7;1;2,2340466
FIN;7;2;2,4862496
FIN;7;3;2,74239948
FIN;7;4;2,73533329
FIN;7;5;2,71601641
FIN;7;6;2,12900388
FIN;7;7;0
FIN;7;8;2,32703767
FIN;7;9;2,59215612
FIN;7;10;2,5871842
FIN;7;11;2,38495295
FIN;7;12;2,31571482
FIN;7;13;1,99169309
FIN;8;1;3,4092886
FIN;8;2;2,95110846
FIN;8;3;2,91283894
FIN;8;4;3,01630489
FIN;8;5;3,08908121
FIN;8;6;2,53992328
FIN;8;7;2,32703767
FIN;8;8;0
FIN;8;9;2,4699989
FIN;8;10;2,90702259
FIN;8;11;2,86528672
FIN;8;12;2,70543785
FIN;8;13;2,65287595
FIN;9;1;3,30304459
FIN;9;2;3,68134757
FIN;9;3;3,11046603
FIN;9;4;3,03052409
FIN;9;5;2,82801018
FIN;9;6;2,72946493
